PAM,VFSC
117.47,73.83
117.75,73.47
117.93,73.14
117.99,72.83
117.91,72.48
117.67,72.05
117.35,71.61
116.96,71.20
116.52,70.81
116.15,70.57
115.77,70.39
115.35,70.21
114.88,70.02
114.37,69.79
113.65,69.28
112.91,68.74
112.16,68.21
111.43,67.72
110.78,67.34
110.38,67.27
110.03,67.28
109.72,67.36
109.43,67.47
109.13,67.59
108.65,67.60
108.15,67.60
107.66,67.59
107.19,67.59
106.76,67.60
106.38,67.61
106.07,67.64
105.86,67.70
105.76,67.78
105.88,67.92
106.24,68.14
106.69,68.37
107.20,68.62
107.72,68.85
108.09,69.16
108.43,69.41
108.75,69.57
109.05,69.58
109.36,69.12
109.66,68.37
109.93,67.61
110.16,66.94
110.33,66.71
110.43,67.14
110.49,67.72
110.50,68.34
110.46,68.89
110.42,68.85
110.33,68.71
110.18,68.50
109.97,68.27
109.67,68.36
109.28,68.58
108.83,68.71
108.32,68.64
107.76,68.01
107.13,66.45
106.48,64.79
105.84,63.24
105.22,61.99
104.67,62.17
104.19,62.93
103.76,63.96
103.39,65.12
103.09,66.12
102.85,66.81
102.71,67.39
102.70,67.84
102.86,67.94
103.22,67.55
103.71,67.29
104.29,67.37
104.96,68.66
105.70,71.12
106.45,73.63
107.16,75.81
107.79,76.10
108.31,75.45
108.70,74.43
108.92,73.28
108.74,73.11
108.38,73.13
107.92,73.22
107.42,73.31
107.05,73.16
106.87,72.73
106.69,72.22
106.50,71.68
106.28,71.13
105.94,70.71
105.47,70.43
104.95,70.14
104.39,69.82
103.78,69.42
103.11,68.69
102.40,67.68
101.71,66.69
101.06,65.77
100.48,65.02
100.07,64.85
99.84,65.18
99.69,65.65
99.62,66.22
99.63,66.79
99.67,66.92
99.77,66.80
99.91,66.73
100.09,66.82
100.32,67.13
100.58,68.38
100.87,69.89
101.20,71.42
101.57,72.83
102.02,73.66
102.52,74.01
103.01,74.14
103.47,74.10
103.77,73.93
103.97,73.68
104.15,73.42
104.38,73.19
104.77,73.18
105.28,73.32
105.84,73.53
106.45,73.80
107.11,74.27
107.77,74.70
108.39,74.99
108.92,75.00
109.34,74.46
109.62,73.59
109.74,72.39
109.61,70.72
109.11,68.27
108.46,65.76
107.72,63.45
106.96,61.58
106.38,61.97
105.87,63.14
105.43,64.69
105.07,66.38
104.79,67.97
104.67,67.85
104.64,67.25
104.70,66.60
104.83,66.05
105.02,65.78
105.27,66.95
105.56,68.50
105.91,70.16
106.32,71.76
106.79,72.96
107.33,73.55
107.89,73.87
108.45,73.93
108.98,73.71
109.48,73.13
109.91,72.40
110.23,71.58
110.42,70.74
110.24,70.04
109.94,69.44
109.57,68.97
109.19,68.66
109.02,68.82
108.93,69.22
108.83,69.66
108.70,70.07
108.38,70.21
107.91,70.05
107.43,69.73
107.01,69.23
106.79,68.42
106.80,67.29
106.92,66.19
107.14,65.23
107.42,64.73
107.75,64.81
108.12,65.19
108.51,65.82
108.87,66.84
109.21,68.09
109.54,69.29
109.85,70.29
110.13,70.44
110.39,70.22
110.60,69.81
110.79,69.34
110.98,68.98
111.08,68.69
111.07,68.52
110.85,68.67
110.31,69.36
109.65,70.14
108.92,70.88
108.16,71.45
107.57,71.10
107.02,70.49
106.50,69.71
106.03,68.85
105.59,68.02
105.19,67.34
104.85,66.76
104.57,66.30
104.36,66.01
104.26,66.09
104.27,66.57
104.37,67.18
104.54,67.85
104.80,68.54
105.16,69.03
105.60,69.40
106.09,69.70
106.61,69.94
107.14,70.15
107.67,70.36
108.18,70.45
108.65,70.35
109.06,69.97
109.34,68.96
109.55,67.83
109.70,66.68
109.78,65.64
109.80,65.33
109.76,65.19
109.67,65.14
109.53,65.13
109.27,64.80
108.97,64.36
108.70,63.97
108.48,63.68
108.45,63.69
108.57,63.96
108.79,64.37
109.08,64.88
109.44,65.47
109.86,66.10
110.30,66.73
110.75,67.33
111.25,67.96
111.71,68.48
112.08,68.75
112.32,68.67
112.22,67.59
111.98,66.26
111.63,64.84
111.20,63.61
110.76,63.15
110.28,62.93
109.76,62.90
109.22,63.04
108.64,63.25
108.04,63.53
107.45,63.87
106.89,64.26
106.37,64.68
105.93,65.02
105.57,65.33
105.28,65.66
105.08,66.00
104.96,66.36
104.97,66.84
105.08,67.34
105.27,67.83
105.55,68.29
105.91,68.69
106.41,69.01
106.95,69.23
107.50,69.31
108.01,69.23
108.43,68.76
108.75,68.03
108.99,67.23
109.13,66.43
109.13,65.80
108.95,65.45
108.70,65.19
108.40,64.99
108.09,64.85
107.84,64.73
107.59,64.63
107.35,64.54
107.11,64.45
106.82,64.24
106.55,64.02
106.34,63.88
106.22,63.85
106.34,64.18
106.60,64.70
106.92,65.29
107.27,65.88
107.60,66.34
107.91,66.72
108.17,67.04
108.36,67.29
108.48,67.45
108.49,67.54
108.39,67.54
108.10,67.46
107.58,67.27
106.95,67.03
106.24,66.75
105.48,66.45
104.71,66.18
103.95,65.91
103.22,65.62
102.54,65.34
101.98,65.03
101.56,64.68
101.24,64.35
101.02,64.05
100.89,63.79
100.88,63.63
101.02,63.64
101.24,63.70
101.51,63.80
101.83,63.91
102.15,63.96
102.44,63.93
102.76,63.93
103.11,64.00
103.51,64.17
104.04,64.89
104.59,65.62
105.14,66.22
105.65,66.58
106.11,66.03
106.48,65.01
106.76,63.85
106.91,62.69
106.82,62.00
106.55,61.65
106.18,61.39
105.73,61.16
105.22,60.72
104.69,60.11
104.21,59.56
103.83,59.13
103.68,59.03
103.80,59.29
104.03,59.70
104.34,60.23
104.68,60.82
105.03,61.43
105.38,62.06
105.72,62.66
106.03,63.22
106.30,63.70
106.50,64.07
106.61,64.31
106.53,64.31
106.35,64.14
106.09,63.80
105.77,63.29
105.42,62.37
105.03,61.38
104.61,60.40
104.18,59.54
103.74,59.25
103.30,59.39
102.87,59.67
102.46,60.01
102.08,60.36
101.76,60.33
101.48,60.23
101.26,60.07
101.09,59.87
100.99,59.58
101.00,59.16
101.06,58.77
101.16,58.47
101.30,58.32
101.46,58.61
101.64,59.36
101.81,60.21
101.96,61.07
102.07,61.84
102.00,62.07
101.88,62.07
101.75,61.98
101.67,61.88
101.73,61.96
101.98,62.31
102.29,62.62
102.62,62.83
102.93,62.74
103.10,61.93
103.31,61.11
103.57,60.45
103.96,60.29
104.55,61.17
105.25,62.32
106.04,63.58
106.92,64.63
107.87,65.35
108.84,65.99
109.80,66.55
110.81,67.28
111.72,67.92
112.43,68.32
112.80,68.25
112.56,67.36
112.07,66.20
111.41,64.92
110.74,63.92
110.16,63.35
109.56,62.91
108.96,62.55
108.38,62.23
107.85,61.77
107.39,61.16
106.94,60.60
106.51,60.13
106.07,59.80
105.60,59.85
105.09,60.25
104.58,60.76
104.08,61.30
103.58,61.82
103.10,62.05
102.65,62.04
102.22,61.97
101.83,61.84
101.49,61.70
101.26,61.72
101.10,61.81
100.97,61.85
100.86,61.81
100.75,61.66
100.58,61.06
100.39,60.27
100.18,59.45
99.97,58.67
99.75,58.02
99.34,57.81
98.98,57.78
98.74,57.89
98.68,58.14
99.02,58.52
99.80,59.02
100.72,59.61
101.73,60.28
102.74,61.06
103.59,61.99
104.41,62.88
105.18,63.64
105.87,64.16
106.46,64.08
106.97,63.79
107.41,63.33
107.79,62.76
108.10,62.19
108.35,61.58
108.55,60.98
108.71,60.40
108.85,60.01
108.95,59.68
109.01,59.40
109.03,59.15
109.05,58.91
109.02,58.67
108.92,58.43
108.71,58.18
108.26,57.87
107.60,57.51
106.89,57.18
106.18,56.89
105.59,56.72
105.17,56.69
104.86,56.76
104.64,56.91
104.53,57.15
104.55,57.41
104.67,57.79
104.90,58.29
105.26,58.98
105.75,59.96
106.33,61.03
106.98,62.12
107.67,63.12
108.38,63.96
109.12,64.72
109.87,65.40
110.69,66.01
111.50,66.53
112.22,66.89
112.78,67.04
112.96,66.77
112.99,66.35
112.88,65.85
112.68,65.38
112.47,65.18
112.20,65.02
111.89,64.87
111.54,64.73
111.20,64.49
110.85,64.20
110.49,63.89
110.12,63.56
109.74,63.23
109.37,62.94
108.98,62.64
108.60,62.33
108.22,62.01
107.86,61.66
107.51,61.26
107.16,60.86
106.80,60.46
106.40,60.08
105.88,59.76
105.28,59.48
104.70,59.22
104.17,58.99
103.73,58.78
103.50,58.40
103.38,58.10
103.39,57.93
103.51,57.95
103.79,58.42
104.25,59.44
104.78,60.58
105.36,61.71
105.95,62.75
106.45,63.12
106.92,63.33
107.37,63.42
107.79,63.46
108.19,63.59
108.56,63.76
108.90,63.92
109.23,64.07
109.57,64.23
109.93,64.39
110.23,64.50
110.46,64.53
110.55,64.41
110.43,64.09
110.22,63.66
109.93,63.17
109.59,62.61
109.27,61.89
108.91,61.20
108.53,60.60
108.11,60.17
107.63,60.25
107.10,60.70
106.59,61.26
106.09,61.85
105.64,62.22
105.25,62.14
104.94,62.07
104.75,62.08
104.68,62.34
104.77,63.19
105.03,64.22
105.48,65.35
106.19,66.56
107.30,67.82
108.54,68.96
109.83,69.89
111.01,70.27
111.99,69.87
112.88,69.38
113.69,69.01
114.48,69.54
115.20,70.69
115.78,71.91
116.19,73.01
116.19,73.11
115.99,72.83
115.65,72.38
115.23,71.85
114.94,71.70
114.69,71.74
114.42,71.81
114.12,71.89
113.78,71.94
113.35,71.77
112.85,71.51
112.31,71.20
111.71,70.85
111.06,70.48
110.32,70.12
109.52,69.76
108.71,69.41
107.88,69.06
107.05,68.72
106.30,68.43
105.56,68.16
104.84,67.90
104.15,67.65
103.46,67.40
102.75,67.06
102.06,66.74
101.42,66.46
100.84,66.25
100.35,66.14
100.03,66.46
99.80,66.83
99.62,67.16
99.50,67.41
99.39,67.29
99.27,66.63
99.19,65.92
99.14,65.27
99.14,64.79
99.20,65.10
99.32,65.70
99.47,66.37
99.66,67.03
99.90,67.28
100.18,67.26
100.46,67.17
100.73,67.07
100.97,67.17
101.17,67.44
101.34,67.69
101.48,67.88
101.59,67.86
101.69,67.50
101.74,67.05
101.74,66.54
101.68,66.02
101.44,65.74
101.15,65.50
100.86,65.24
100.59,64.95
100.41,64.32
100.34,63.46
100.35,62.75
100.47,62.37
100.74,62.87
101.16,64.49
101.68,66.27
102.28,67.93
102.95,68.66
103.67,68.42
104.39,67.94
105.08,67.41
105.70,67.30
106.23,67.51
106.67,67.92
106.99,68.56
107.13,70.05
107.13,71.58
106.99,72.86
106.71,73.64
106.23,72.17
105.62,69.96
104.92,67.46
104.16,64.97
103.40,63.38
102.65,63.21
101.91,63.42
101.15,63.88
100.41,64.46
99.67,64.79
98.96,64.63
98.27,64.45
97.60,64.28
96.98,64.16
96.38,64.17
95.83,64.60
95.32,65.12
94.88,65.66
94.50,66.20
94.20,66.69
93.98,66.87
93.84,66.95
93.81,66.97
93.89,66.95
94.08,66.92
94.48,66.77
95.00,66.67
95.60,66.69
96.28,66.87
97.01,67.59
97.78,68.88
98.56,70.15
99.35,71.21
100.09,71.58
100.70,70.60
101.35,69.48
102.08,68.52
103.04,68.43
104.31,69.70
105.64,71.20
106.97,72.68
108.13,73.50
109.14,73.70
110.03,73.54
110.81,73.04
111.44,71.83
111.94,70.41
112.33,69.01
112.59,67.80
112.73,67.86
112.76,68.20
112.66,68.64
112.45,69.00
112.06,68.48
111.55,67.64
110.96,66.71
110.29,65.78
109.57,65.26
108.83,65.17
108.06,65.16
107.28,65.16
106.50,65.10
105.74,64.48
105.02,63.52
104.33,62.54
103.67,61.63
103.06,60.88
102.50,60.79
102.01,61.33
101.57,62.04
101.21,62.82
100.93,63.58
100.79,64.04
100.85,63.94
100.95,63.74
101.06,63.48
101.15,63.20
101.13,63.03
100.86,63.12
100.55,63.26
100.23,63.42
99.92,63.57
99.69,63.71
99.55,63.80
99.48,63.83
99.47,63.79
99.53,63.67
99.71,63.23
99.97,62.65
100.29,62.10
100.64,61.67
101.01,61.56
101.38,61.82
101.76,62.24
102.14,62.76
102.51,63.34
102.87,63.94
103.24,64.53
103.62,65.07
104.09,65.43
104.61,65.64
105.08,65.79
105.46,65.91
105.62,66.13
105.58,66.39
105.41,66.59
105.12,66.70
104.68,66.51
104.11,66.03
103.48,65.46
102.82,64.86
102.14,64.27
101.56,64.01
101.03,63.88
100.55,63.80
100.12,63.72
99.74,63.63
99.48,63.25
99.30,62.77
99.18,62.34
99.11,62.00
99.09,61.80
99.09,62.12
99.13,62.69
99.22,63.34
99.38,64.01
99.62,64.57
99.96,64.75
100.38,64.89
100.85,65.05
101.38,65.28
102.03,65.97
102.71,66.75
103.35,67.48
103.92,68.06
104.17,68.04
104.26,67.70
104.34,67.26
104.45,66.81
104.77,66.73
105.23,66.77
105.78,66.77
106.42,66.68
107.25,66.09
108.11,65.41
108.95,64.73
109.66,64.25
110.17,64.16
110.57,64.07
110.87,63.87
111.10,63.21
111.24,62.18
111.26,61.01
111.15,59.76
110.80,58.52
110.29,57.34
109.66,56.28
108.94,55.40
108.18,54.95
107.41,54.90
106.59,55.09
105.74,55.45
104.87,55.97
103.98,56.72
103.08,57.57
102.19,58.40
101.31,59.11
100.46,59.63
99.66,59.48
98.92,58.49
98.23,57.35
97.60,56.21
97.06,55.18
96.59,54.47
96.24,54.93
95.98,55.67
95.81,56.64
95.74,57.76
95.77,58.99
95.96,60.43
96.24,61.81
96.60,63.00
97.02,63.88
97.49,64.31
98.07,63.08
98.65,61.59
99.20,60.06
99.69,58.74
99.96,58.50
100.09,59.03
100.17,59.85
100.25,60.82
100.40,61.72
100.63,62.50
100.93,63.17
101.32,63.69
101.90,63.74
102.62,63.45
103.35,63.15
104.06,62.96
104.58,63.47
104.98,64.28
105.31,65.13
105.58,65.87
105.83,66.06
106.03,66.05
106.19,65.87
106.29,65.55
106.34,65.12
106.35,64.60
106.30,63.98
106.20,63.30
106.07,62.49
105.88,61.68
105.61,60.93
105.26,60.27
104.75,60.14
104.13,60.25
103.44,60.36
102.69,60.40
101.91,60.26
101.08,58.85
100.25,57.24
99.45,55.63
98.68,54.19
97.98,53.07
97.45,53.68
97.03,55.02
96.70,56.57
96.46,58.15
96.31,59.58
96.22,60.02
96.19,59.22
96.25,58.25
96.43,57.28
96.73,56.48
97.22,56.57
97.94,57.77
98.74,59.11
99.57,60.40
100.41,61.47
101.16,61.30
101.84,60.54
102.45,59.62
102.96,58.70
103.29,58.16
103.38,58.22
103.42,58.48
103.48,58.93
103.64,59.54
104.09,60.38
104.64,61.25
105.25,62.06
105.91,62.75
106.62,63.18
107.32,63.36
108.00,63.24
108.58,62.55
109.04,61.13
109.42,59.63
109.74,58.28
109.99,57.74
110.18,57.99
110.33,58.53
110.44,59.23
110.57,59.89
110.67,60.46
110.72,60.89
110.70,61.08
110.56,60.57
110.31,59.63
109.95,58.58
109.50,57.57
108.88,57.12
108.13,57.10
107.32,57.26
106.47,57.54
105.62,57.89
104.89,58.15
104.18,58.42
103.48,58.67
102.79,58.88
102.08,59.01
101.30,59.00
100.55,58.92
99.86,58.76
99.25,58.53
98.79,58.15
98.55,57.52
98.42,56.90
98.39,56.35
98.46,55.93
98.60,55.77
98.82,56.22
99.09,56.87
99.43,57.68
99.82,58.62
100.27,59.74
100.77,61.00
101.28,62.15
101.78,63.11
102.23,63.64
102.56,63.16
102.86,62.53
103.14,61.91
103.42,61.62
103.71,62.47
104.04,63.40
104.42,64.21
104.93,64.35
105.62,63.29
106.34,62.14
107.04,61.18
107.63,61.44
108.10,62.64
108.49,63.94
108.80,65.03
109.07,64.52
109.25,63.57
109.30,62.53
109.21,61.80
108.89,62.36
108.44,63.09
107.87,63.78
107.19,64.12
106.42,63.22
105.59,61.96
104.72,60.47
103.83,58.86
102.99,57.33
102.21,55.94
101.45,54.71
100.71,53.71
100.01,53.01
99.33,53.27
98.68,54.29
98.07,55.45
97.51,56.57
97.01,57.47
96.58,57.21
96.24,55.84
95.95,54.29
95.72,52.76
95.53,51.44
95.40,51.25
95.31,52.01
95.25,52.99
95.22,54.03
95.20,54.98
95.15,55.04
95.10,54.78
95.06,54.42
95.03,54.04
94.99,53.76
94.93,53.71
94.90,53.79
94.94,54.04
95.05,54.49
95.21,55.26
95.51,56.24
95.96,57.44
96.62,58.83
97.73,60.89
99.02,62.95
100.41,64.77
101.82,65.94
103.17,65.70
104.45,65.13
105.62,64.50
106.65,64.63
107.49,65.48
108.12,66.29
108.51,66.83
108.48,66.18
108.17,64.86
107.67,63.18
107.02,61.29
106.40,59.35
105.74,57.45
105.02,55.69
104.27,54.19
103.51,53.07
102.78,53.57
102.05,54.44
101.33,55.55
100.61,56.75
99.89,57.89
99.18,58.38
98.48,58.34
97.80,58.06
97.15,57.55
96.56,56.84
96.03,55.72
95.61,54.14
95.23,52.55
94.89,51.08
94.57,49.87
94.25,49.34
93.92,49.77
93.60,50.50
93.33,51.43
93.09,52.47
92.96,53.36
92.89,54.16
92.83,54.91
92.77,55.55
92.62,55.95
92.37,56.11
92.17,56.20
92.06,56.28
92.17,56.44
92.52,56.74
92.97,57.07
93.49,57.44
94.05,57.86
94.61,58.29
95.15,58.70
95.62,59.04
95.93,59.38
96.16,59.56
96.30,59.48
96.37,58.84
96.37,57.35
96.30,55.79
96.19,54.42
96.05,54.08
95.90,54.95
95.71,56.16
95.48,57.49
95.19,58.60
94.81,58.61
94.39,58.41
93.98,58.10
93.58,57.74
93.26,57.70
93.01,57.94
92.82,58.19
92.67,58.41
92.58,58.55
92.53,58.27
92.55,57.83
92.61,57.36
92.73,56.92
92.90,56.64
93.16,56.78
93.46,56.96
93.79,57.11
94.13,57.19
94.46,56.70
94.80,56.13
95.14,55.63
95.48,55.28
95.82,55.71
96.16,56.37
96.47,57.06
96.76,57.65
97.00,57.62
97.20,57.34
97.34,56.90
97.43,56.35
97.36,55.89
97.24,55.38
97.15,54.78
97.13,54.05
97.36,52.49
97.71,51.05
98.15,50.06
98.65,50.11
99.21,52.43
99.79,55.26
100.36,58.18
100.85,60.21
101.24,61.10
101.63,61.63
102.04,61.91
102.64,62.32
103.30,62.70
103.92,62.97
104.44,63.09
104.68,62.99
104.79,62.75
104.77,62.38
104.62,61.84
104.33,61.04
103.96,60.20
103.53,59.40
103.06,58.72
102.63,58.71
102.21,58.94
101.81,59.21
101.42,59.42
101.09,59.27
100.85,58.18
100.64,57.04
100.45,56.00
100.28,55.22
100.07,55.48
99.80,56.91
99.58,58.46
99.42,59.91
99.35,61.00
99.52,60.09
99.79,58.75
100.14,57.32
100.54,56.07
101.01,55.99
101.51,56.79
101.97,57.82
102.36,58.93
102.54,59.76
102.50,60.20
102.37,60.42
102.20,60.40
102.04,59.87
101.92,58.67
101.85,57.50
101.83,56.57
101.94,56.47
102.21,57.74
102.55,59.33
102.94,60.97
103.35,62.16
103.76,62.58
104.17,62.79
104.56,62.90
104.93,63.14
105.26,63.51
105.54,63.82
105.74,64.02
105.82,64.00
105.80,63.79
105.67,63.37
105.44,62.73
105.01,61.58
104.48,60.24
103.92,58.81
103.33,57.41
102.82,56.47
102.37,55.87
101.98,55.31
101.66,54.72
101.41,54.00
101.39,52.15
101.44,50.17
101.54,48.41
101.63,47.09
101.67,46.75
101.55,48.16
101.42,50.10
101.28,52.37
101.16,54.76
101.15,56.80
101.16,58.67
101.18,60.30
101.18,61.61
101.12,62.18
101.03,62.31
100.91,62.11
100.77,61.63
100.63,60.95
100.46,60.11
100.27,59.16
100.05,58.13
99.77,57.05
99.37,55.89
98.95,54.87
98.54,54.05
98.17,53.55
97.86,53.87
97.64,54.77
97.51,55.86
97.49,57.00
97.64,57.78
97.96,58.14
98.38,58.55
98.89,59.10
99.48,60.31
100.12,61.94
100.79,63.60
101.47,65.11
102.11,65.96
102.72,66.49
103.27,66.76
103.74,66.82
104.11,66.71
104.38,66.33
104.52,65.65
104.45,64.27
104.23,62.52
103.91,60.75
103.53,59.15
103.18,58.62
102.83,58.76
102.48,59.18
102.11,59.74
101.75,60.28
101.38,60.38
101.03,60.38
100.68,60.29
100.36,60.08
100.06,59.60
99.78,58.89
99.54,58.18
99.36,57.54
99.24,57.06
99.23,57.31
99.30,57.84
99.44,58.43
99.64,59.01
99.92,59.36
100.30,59.27
100.71,59.04
101.14,58.68
101.55,58.24
101.92,57.62
102.25,57.00
102.52,56.44
102.71,56.02
102.72,56.10
102.67,56.33
102.58,56.63
102.49,56.95
102.50,57.04
102.53,57.08
102.57,57.08
102.64,57.06
102.67,56.90
102.72,56.78
102.81,56.74
102.96,56.84
103.20,57.37
103.51,58.04
103.88,58.83
104.35,59.69
104.93,60.59
105.55,61.46
106.19,62.26
106.81,62.82
107.40,63.20
107.94,63.44
108.43,63.59
108.90,63.70
109.25,63.68
109.44,63.49
109.36,63.08
109.00,62.43
108.46,61.56
107.78,60.49
106.98,59.20
106.10,57.70
105.16,55.98
104.20,54.04
